Артикул,Наименование ,Бренд,ЧЗ,НДС,Цена с 01.01.2026,Цена с 01.02.2026,Цена с 01.03.2026,Цена с 01.04.2026,Цена с 01.05.2026,Цена с 01.06.2026,Цена с 01.07.2026,Цена с 01.08.2026,
CAP-CHAR-PUR-100,"Шапочка Шарлотта Фиолетовая, 100 шт (3000)",ЭЛС,,10%,"80,0","80,0","80,0","80,0","80,0","80,0","80,0","80,0",
CAP-CHAR-PNK-100,"Шапочка Шарлотта Розовая, 100 шт (3000)",ЭЛС,,10%,"80,0","80,0","80,0","80,0","80,0","80,0","80,0","80,0",
CAP-CHAR-WHT-500,"Шапочка Шарлотта Белая, 500 шт (4000)",ЭЛС,,10%,"385,0","385,0","385,0","385,0","385,0","385,0","385,0","385,0",
SHT-DISP-70X200-STD-BLK,Простынь 70*200 в рулоне белая,ЭЛС,,10%,"339,0","339,0","339,0","339,0","339,0","339,0","339,0","339,0",
SHT-DISP-70X200-STD-WHT,Простынь 70*200 в рулоне черн,ЭЛС,,10%,"359,0","359,0","359,0","359,0","359,0","339,0","339,0","339,0",
WL-STD-35X70,Салфетка 35х70 в сложении 50 шт (Полотенце),ЭЛС,,10%,"155,0","155,0","155,0","155,0","159,0","159,0","159,0","159,0",
WL-STD-45X90,Салфетка 45х90 в сложении 50 шт (Полотенце),ЭЛС,,10%,"252,0","252,0","252,0","252,0","252,0","255,5","255,5","255,5",
WL-35X70-ROLL,Салфетка 35х70 в рулоне 100 шт (Полотенце),ЭЛС,,10%,"310,0","310,0","310,0","310,0","310,0","310,0","319,0","319,0",
WL-45X90-ROLL,Салфетка 45х90 в рулоне 100 шт (Полотенце),ЭЛС,,10%,"504,0","504,0","504,0","504,0","504,0","489,0","489,0","489,0",
,"Салфетка в сложении 35х70, 50 шт 40г плотные",ЭЛС,,10%,,,,,,"194,5","194,5","194,5",
MSK-DISP-3PLY-BLU,Маска голубая ,ЭЛС,,10%,"50,0","50,0","50,0","50,0","50,0","50,0","50,0","50,0",
MSK-DISP-4PLY-PUR,Маска фиолетовая,ЭЛС,,22%,"120,0","120,0","120,0","120,0","120,0","120,0","120,0","120,0",
MSK-DISP-4PLY-PNK,Маска розовая ,ЭЛС,,22%,"120,0","120,0","120,0","120,0","120,0","120,0","120,0","120,0",
MSK-DISP-4PLY-BLK,Маска черная ,ЭЛС,,22%,"125,0","125,0","125,0","125,0","125,0","125,0","125,0","125,0",
SHOECOV-STD-PUR-WHT-500PR,Бахилы бело-фиолетовые евроблок,ЭЛС,,10%,"725,0","725,0","675,0","700,0","685,0","685,0","705,0","705,0",
